Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Владикавказ,4,900,7.6,7.4,7.2,7,6.8,6.6,1900,1850,1800,1750,1700,1650
Грозный,2,350,4.4,4.2,4,3.8,3.6,3.4,1100,1050,1000,950,900,850
Дербент,2,300,3.2,3,2.8,2.6,2.4,2.2,800,750,700,650,600,550
Екатеринбург,7,700,15.2,15,14.8,14.6,14.4,14,3800,3750,3700,3650,3600,3500
Избербаш,2,300,3,2.8,2.6,2.4,2.2,2,750,700,650,600,550,500
Каспийск,1,300,2.8,2.6,2.5,2.2,2,1.6,700,650,625,550,500,400
Краснодар,3,300,6.4,6.2,6,5.8,5.6,5.4,1600,1550,1500,1450,1400,1350
Маджалис,2,300,3.2,3,2.8,2.6,2.4,2.2,800,750,700,650,600,550
Махачкала,1,200,2.2,2,1.9,1.8,1.6,1.4,550,500,475,450,400,350
Москва,4,400,8.8,8.3,7.8,7.6,7.2,6.8,2200,2075,1950,1900,1800,1700
Набережные Челны,7,600,12.6,12.2,11.8,11.4,11,10.8,3150,3050,2950,2850,2750,2700
Нальчик,4,900,8,7.8,7.6,7.2,6.8,6.4,2000,1950,1900,1800,1700,1600
Нефтеюганск,9,900,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Нижневартовск,10,900,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Новосибирск,10,900,21.6,21.2,20.4,19.6,18.8,18.4,5400,5300,5100,4900,4700,4600
Новый Уренгой,10,1000,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
Ноябрьск,11,1050,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Нягань,10,1000,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Омск,10,1000,19.2,19,18.8,18.6,18.4,18.2,4800,4750,4700,4650,4600,4550
Пермь,9,600,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Пятигорск,3,300,6,5.8,5.6,5.2,4.8,4.4,1500,1450,1400,1300,1200,1100
Ростов-на-Дону,2,300,6.6,6.4,6.2,6,5.8,5.6,1650,1600,1550,1500,1450,1400
Санкт-Петербург,5,600,13.2,13,12.8,12.4,12,11.6,3300,3250,3200,3100,3000,2900
Симферополь,5,600,15.6,15.2,14.6,14,13.6,13.2,3900,3800,3650,3500,3400,3300
Ставрополь,4,900,10.4,10,9.6,9.2,8.8,8.4,2600,2500,2400,2300,2200,2100
Стрежевой,10,1100,25.2,25,24.6,24.2,23.8,22.2,6300,6250,6150,6050,5950,5550
Сургут,9,900,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Тобольск,11,1000,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Томск,11,1200,26.2,25.8,25.4,25,24.6,20.2,6550,6450,6350,6250,6150,5050
Тюмень,8,800,17.6,17.2,17,16.6,16.4,16,4400,4300,4250,4150,4100,4000
Хасавюрт,2,300,4.2,4,3.8,3.6,3.4,3.2,1050,1000,950,900,850,800
Челябинск,7,800,17.6,17.2,17,16.6,16.4,16,4400,4300,4250,4150,4100,4000
Черкесск,4,900,8,7.8,7.6,7.2,6.8,6.4,2000,1950,1900,1800,1700,1600
