Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,2,350,4.4,4.2,4,3.8,3.6,3.4,1100,1050,1000,950,900,850
Владикавказ,3,900,6.8,6.6,6.4,6.2,6,5.8,1700,1650,1600,1550,1500,1450
Дербент,2,300,4.8,4.6,4.4,4.2,3.8,3.6,1200,1150,1100,1050,950,900
Екатеринбург,5,600,14,13.6,13.2,12.8,12.7,12.2,3500,3400,3300,3200,3175,3050
Избербаш,3,200,4.9,4.6,4.3,4,3.8,3.6,1225,1150,1075,1000,950,900
Каспийск,2,350,3.8,3.6,3.4,3,2.8,2.4,950,900,850,750,700,600
Краснодар,3,300,6,5.9,5.8,5.6,5.4,5.2,1500,1475,1450,1400,1350,1300
Маджалис,3,300,4.8,4.6,4.4,4.2,3.8,3.6,1200,1150,1100,1050,950,900
Махачкала,2,300,3.2,3,2.8,2.6,2.4,2.2,800,750,700,650,600,550
Москва,4,400,7.6,7.4,7.2,7,6.8,6.6,1900,1850,1800,1750,1700,1650
Набережные Челны,5,600,12.2,11.6,11,10.8,10.6,10.4,3050,2900,2750,2700,2650,2600
Нальчик,3,900,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
Нефтеюганск,7,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Нижневартовск,7,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Новосибирск,8,800,20.4,20,19.2,18.4,18,17.2,5100,5000,4800,4600,4500,4300
Новый Уренгой,10,900,24,23.2,22.6,21.6,21.2,20.8,6000,5800,5650,5400,5300,5200
Ноябрьск,9,900,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Нягань,9,950,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Омск,9,950,18,17.8,17.6,17.4,17.2,17,4500,4450,4400,4350,4300,4250
Пермь,6,500,16,15.6,15.4,15,14.8,14.4,4000,3900,3850,3750,3700,3600
Пятигорск,4,300,4.8,4.6,4.4,4.2,3.8,3.4,1200,1150,1100,1050,950,850
Ростов-на-Дону,3,300,6,5.8,5.6,5.4,5.2,5,1500,1450,1400,1350,1300,1250
Санкт-Петербург,5,500,12,11.6,11.2,10.8,10.6,10.4,3000,2900,2800,2700,2650,2600
Симферополь,5,500,13,12.8,12.6,12,11.4,10.8,3250,3200,3150,3000,2850,2700
Ставрополь,3,900,9.6,9.2,9,8.8,8.2,7.6,2400,2300,2250,2200,2050,1900
Стрежевой,9,1000,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Сургут,7,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Тобольск,10,900,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Томск,12,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Тюмень,7,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Хасавюрт,2,250,3.2,3,2.8,2.6,2.4,2.2,800,750,700,650,600,550
Челябинск,6,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Черкесск,3,900,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
