Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,7,700,15.2,15,14.8,14.6,14.4,14,3800,3750,3700,3650,3600,3500
Владикавказ,8,1300,14.8,14.4,14,13.6,13.2,12.8,3700,3600,3500,3400,3300,3200
Грозный,5,600,14,13.6,13.2,12.8,12.7,12.2,3500,3400,3300,3200,3175,3050
Дербент,7,800,15.2,15.1,14.9,14.7,14.5,13.9,3800,3775,3725,3675,3625,3475
Избербаш,6,800,16,15.8,15.6,15.4,15.2,14.8,4000,3950,3900,3850,3800,3700
Каспийск,7,700,14.8,14.4,14,13.6,13.2,12.8,3700,3600,3500,3400,3300,3200
Краснодар,6,600,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Москва,3,500,10.8,10.6,10.4,10,9.4,9.2,2700,2650,2600,2500,2350,2300
Маджалис,6,800,15.2,15.1,14.9,14.7,14.5,13.9,3800,3775,3725,3675,3625,3475
Махачкала,6,600,14.4,14,13.6,13.2,12.8,12.4,3600,3500,3400,3300,3200,3100
Набережные Челны,3,450,7.6,7.4,7,6.8,6.6,6.4,1900,1850,1750,1700,1650,1600
Нальчик,8,1300,15.6,15.2,14.8,14.4,14,13.6,3900,3800,3700,3600,3500,3400
Нефтеюганск,3,500,10.8,10.4,10,9.8,9.6,9.4,2700,2600,2500,2450,2400,2350
Нижневартовск,3,500,11.4,11,10.4,10,9.8,9.4,2850,2750,2600,2500,2450,2350
Новосибирск,6,500,10.4,10.2,10,9.6,9.4,9,2600,2550,2500,2400,2350,2250
Новый Уренгой,4,700,14.8,14.4,14,13.6,13.4,13.2,3700,3600,3500,3400,3350,3300
Ноябрьск,2,500,11,10.8,10.6,10.4,10.2,9.8,2750,2700,2650,2600,2550,2450
Нягань,4,500,9.6,9.4,9.2,9,8.8,8.4,2400,2350,2300,2250,2200,2100
Омск,4,500,7.4,7,6.8,6.6,6.4,6,1850,1750,1700,1650,1600,1500
Пермь,1,400,5.8,5.6,5.4,5,4.6,4.2,1450,1400,1350,1250,1150,1050
Пятигорск,7,700,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Ростов-на-Дону,5,600,13.2,12.8,12.4,12,11.6,11.2,3300,3200,3100,3000,2900,2800
Санкт-Петербург,5,600,12.4,12,11.4,10.8,10.4,10,3100,3000,2850,2700,2600,2500
Симферополь,8,600,18,17.6,17.2,16.8,16.4,16,4500,4400,4300,4200,4100,4000
Ставрополь,8,1300,16.4,16,15.6,15.2,14.4,14,4100,4000,3900,3800,3600,3500
Стержевой,5,750,15.2,14.8,14.2,13.6,13.2,12.4,3800,3700,3550,3400,3300,3100
Сургут,3,500,10.8,10.6,10.2,9.8,9.4,9.2,2700,2650,2550,2450,2350,2300
Тобольск,3,400,6.4,6.2,6,5.8,5.6,5.2,1600,1550,1500,1450,1400,1300
Томск,6,500,12.2,12,11.8,11.4,11,10.8,3050,3000,2950,2850,2750,2700
Тюмень,1,350,5.4,5.2,5,4.4,4,3.8,1350,1300,1250,1100,1000,950
Хасавюрт,6,600,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Челябинск,1,350,5.4,5.2,5,4.4,4,3.8,1350,1300,1250,1100,1000,950
Черкесск,8,1300,15.6,15.2,14.8,14.4,14,13.6,3900,3800,3700,3600,3500,3400
