Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,3,300,6.4,6.2,6,5.8,5.6,5.4,1600,1550,1500,1450,1400,1350
Владикавказ,3,800,6.8,6.6,6.4,6,5.8,5.6,1700,1650,1600,1500,1450,1400
Грозный,2,300,6,5.9,5.8,5.6,5.4,5.2,1500,1475,1450,1400,1350,1300
Дербент,2,300,8,7.6,7.2,7,6.4,6,2000,1900,1800,1750,1600,1500
Екатеринбург,6,600,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Избербаш,3,300,7.6,7.4,7.2,6.8,6,5.8,1900,1850,1800,1700,1500,1450
Каспийск,3,300,5.8,5.6,5.4,5,4.8,4.4,1450,1400,1350,1250,1200,1100
Маджалис,3,300,8,7.6,7.2,7,6.4,6,2000,1900,1800,1750,1600,1500
Махачкала,1,300,5.6,5.4,5.2,5,4.8,4.6,1400,1350,1300,1250,1200,1150
Москва,3,300,7.6,7.4,7.2,7,6.8,6.6,1900,1850,1800,1750,1700,1650
Набережные Челны,5,600,12.8,12.4,12,11.6,11.2,10.8,3200,3100,3000,2900,2800,2700
Нальчик,3,800,8.8,8.6,8.4,8,7.8,7.6,2200,2150,2100,2000,1950,1900
Нефтеюганск,7,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Нижневартовск,7,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Новосибирск,8,800,20.8,20.4,19.6,18.8,18.4,17.6,5200,5100,4900,4700,4600,4400
Новый Уренгой,9,900,24.4,23.6,23,22,21.6,21.2,6100,5900,5750,5500,5400,5300
Ноябрьск,9,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Нягань,9,1000,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Омск,9,900,18,17.8,17.6,17.4,17.2,17,4500,4450,4400,4350,4300,4250
Пермь,6,600,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Пятигорск,2,300,5,4.8,4.6,4.4,4.2,4,1250,1200,1150,1100,1050,1000
Ростов-на-Дону,1,300,5.2,5,4.8,4.6,4.4,4.2,1300,1250,1200,1150,1100,1050
Санкт-Петербург,4,500,10.8,10.7,10.4,10,9.6,9.2,2700,2675,2600,2500,2400,2300
Симферополь,1,300,8,7.8,7.2,6.8,5.8,5.2,2000,1950,1800,1700,1450,1300
Ставрополь,3,800,10,9.2,9,8.6,8.4,7.8,2500,2300,2250,2150,2100,1950
Стрежевой,9,1100,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Сургут,7,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Тобольск,7,700,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Томск,9,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Тюмень,7,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Хасавюрт,1,300,5.6,5.4,5.2,5,4.8,4.6,1400,1350,1300,1250,1200,1150
Челябинск,6,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Черкесск,3,800,8.8,8.6,8.4,8,7.8,7.6,2200,2150,2100,2000,1950,1900
