Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,1,200,2.2,2,1.9,1.8,1.6,1.4,550,500,475,450,400,350
Владикавказ,2,800,6.8,6.6,6.4,6.2,6,5.8,1700,1650,1600,1550,1500,1450
Грозный,1,300,3.2,3,2.8,2.6,2.4,2.2,800,750,700,650,600,550
Дербент,1,200,2,1.8,1.6,1.4,1.2,1,500,450,400,350,300,250
Екатеринбург,6,600,14.4,14,13.6,13.2,12.8,12.4,3600,3500,3400,3300,3200,3100
Избербаш,1,300,1.8,1.6,1.4,1.2,1,0.8,450,400,350,300,250,200
Каспийск,1,200,2.2,2,1.9,1.8,1.6,1.4,550,500,475,450,400,350
Краснодар,2,300,5.6,5.4,5.2,5,4.8,4.6,1400,1350,1300,1250,1200,1150
Маджалис,1,300,2,1.8,1.6,1.4,1.2,0.8,500,450,400,350,300,200
Москва,3,300,7.6,7.1,6.8,6.2,6,5.8,1900,1775,1700,1550,1500,1450
Набережные Челны ,6,500,12.2,11.6,11,10.6,10.4,10.2,3050,2900,2750,2650,2600,2550
Нальчик,2,800,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
Нефтеюганск,8,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Нижневартовск,8,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Новосибирск,9,800,20.8,20.4,19.6,18.8,18.4,17.6,5200,5100,4900,4700,4600,4400
Новый Уренгой,9,900,24.4,23.6,23,22,21.6,21.2,6100,5900,5750,5500,5400,5300
Ноябрьск,10,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Нягань,9,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Омск,9,900,18,17.8,17.6,17.4,17.2,17,4500,4450,4400,4350,4300,4250
Пермь,8,500,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Пятигорск,2,300,4.8,4.6,4.4,4.2,4,3.6,1200,1150,1100,1050,1000,900
Ростов-на-Дону,1,300,5.6,5.4,5.2,5,4.8,4.6,1400,1350,1300,1250,1200,1150
Санкт-Петербург,4,500,11.6,11.4,11.2,10.8,10.6,10.4,2900,2850,2800,2700,2650,2600
Симферополь,4,500,13.2,12.8,12.4,11.6,11,10.4,3300,3200,3100,2900,2750,2600
Ставрополь,2,800,9.6,9.4,9.2,8.8,8.4,7.4,2400,2350,2300,2200,2100,1850
Стрежевой,9,1000,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Сургут,8,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Тобольск,10,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Томск,12,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Тюмень,7,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Хасавюрт,1,200,3,2.8,2.6,2.4,2.2,2,750,700,650,600,550,500
Челябинск,6,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Черкесск,2,800,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
