Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,4,600,10.4,9.9,9.4,9.2,8.8,8.4,2600,2475,2350,2300,2200,2100
Владикавказ,4,1000,11.6,11.4,11.2,11,10.6,10.4,2900,2850,2800,2750,2650,2600
Грозный ,3,600,9.2,9,8.8,8.6,8.4,8.2,2300,2250,2200,2150,2100,2050
Дербент ,4,700,10.6,10.3,10,9.4,9,8.6,2650,2575,2500,2350,2250,2150
Екатеринбург,3,700,12.4,12.2,12,11.6,11,10.8,3100,3050,3000,2900,2750,2700
Избербаш,3,600,10.4,9.9,9.4,9.2,8.8,8.4,2600,2475,2350,2300,2200,2100
Каспийск,4,500,9.2,8.7,8.4,8.2,8,7.6,2300,2175,2100,2050,2000,1900
Краснодар,2,600,10.4,10,9.6,9.2,8.8,8.4,2600,2500,2400,2300,2200,2100
Маджалис ,4,700,10.6,10.3,10,9.4,9,8.6,2650,2575,2500,2350,2250,2150
Махачкала,3,500,9.2,8.7,8.4,7.8,7.6,7.4,2300,2175,2100,1950,1900,1850
Набережные Челны ,3,700,12.4,12,11.6,11.2,10.8,10.4,3100,3000,2900,2800,2700,2600
Нальчик ,4,1000,12.8,12.6,12.4,12,11.6,10.8,3200,3150,3100,3000,2900,2700
Нефтеюганск ,7,900,18.6,18.2,17.6,17.2,16.8,16.4,4650,4550,4400,4300,4200,4100
Нижневартовск ,7,900,18.6,18.4,18,17.6,17.2,16.8,4650,4600,4500,4400,4300,4200
Новосибирск ,8,900,19,18.8,18.4,18,17.4,17.2,4750,4700,4600,4500,4350,4300
Новый Уренгой ,8,1000,21.6,21.2,20.8,20.4,19.8,19.4,5400,5300,5200,5100,4950,4850
Ноябрьск ,7,900,18.8,18.4,18,17.6,17.2,16.8,4700,4600,4500,4400,4300,4200
Нягань,7,900,17.2,17,16.8,16.6,16.4,16.2,4300,4250,4200,4150,4100,4050
Омск ,7,800,16.8,16.4,16,15.6,15.2,14.8,4200,4100,4000,3900,3800,3700
Пермь,3,700,13.2,13,12.6,12,11.6,11.2,3300,3250,3150,3000,2900,2800
Пятигорск,3,600,10.8,10.4,9.8,9.2,8.6,8.4,2700,2600,2450,2300,2150,2100
Ростов-на-Дону,2,600,10.4,10,9.6,9.2,8.8,8.4,2600,2500,2400,2300,2200,2100
Санкт-Петербург,1,500,8.4,8.2,8,7.6,7.4,7.2,2100,2050,2000,1900,1850,1800
Симферополь,4,700,15.6,15.2,14.6,14,13.6,13.2,3900,3800,3650,3500,3400,3300
Ставрополь,4,1000,14.4,14.2,14,13.2,12.8,12.4,3600,3550,3500,3300,3200,3100
Стрежевой,7,1000,23.6,23.2,22.6,21.6,19.6,18.6,5900,5800,5650,5400,4900,4650
Сургут ,7,900,18.6,18.2,18,17.6,17.2,16.8,4650,4550,4500,4400,4300,4200
Тобольск ,5,900,15.6,15.2,14.8,14.4,14,13.6,3900,3800,3700,3600,3500,3400
Томск ,8,800,20,19.6,19.2,18.8,18.4,18,5000,4900,4800,4700,4600,4500
Тюмень ,5,800,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Хасавюрт,3,500,9.2,8.7,8.4,7.8,7.6,7.4,2300,2175,2100,1950,1900,1850
Челябинск ,4,800,13.6,13.2,12.9,12.6,12,11.6,3400,3300,3225,3150,3000,2900
Черкесск,4,1000,12.8,12.6,12.4,12,11.6,10.8,3200,3150,3100,3000,2900,2700
