Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,4,900,8,7.8,7.6,7.2,6.8,6.4,2000,1950,1900,1800,1700,1600
Грозный,3,900,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
Дербент,3,1000,7.8,7.6,7.4,7.2,7,6.8,1950,1900,1850,1800,1750,1700
Екатеринбург,8,1300,15.6,15.2,14.8,14.4,14,13.6,3900,3800,3700,3600,3500,3400
Избербаш,3,900,8,7.8,7.6,7.2,6.8,6.4,2000,1950,1900,1800,1700,1600
Каспийск,3,900,7.4,7.2,7,6.6,6.2,5.6,1850,1800,1750,1650,1550,1400
Краснодар,3,800,8.8,8.6,8.4,8,7.8,7.6,2200,2150,2100,2000,1950,1900
Маджалис,3,1000,7.8,7.6,7.4,7.2,7,6.8,1950,1900,1850,1800,1750,1700
Махачкала,2,800,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
Москва,4,800,11.2,11,10.8,10.4,10,9.2,2800,2750,2700,2600,2500,2300
Набережные Челны,7,1000,13.6,13.2,12.8,12.4,12,11.6,3400,3300,3200,3100,3000,2900
Нефтеюганск,10,1400,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Нижневартовск,9,1500,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Новосибирск,10,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Новый Уренгой,11,1400,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
Ноябрьск,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Нягань,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Омск,11,1400,21.6,21.2,2.04,19.6,19.2,18.4,5400,5300,510,4900,4800,4600
Пермь,7,1100,17.2,16.6,16.4,16.2,16,15.6,4300,4150,4100,4050,4000,3900
Пятигорск,1,600,3.2,2.8,2.4,2,1.6,1.4,800,700,600,500,400,350
Ростов-на-Дону,2,800,8.8,8.6,8.4,8,7.8,7.6,2200,2150,2100,2000,1950,1900
Санкт-Петербург,5,1000,12,11.8,11.6,11.4,11.2,11,3000,2950,2900,2850,2800,2750
Симферополь,4,800,14.4,14.2,13.6,13,12.2,11.6,3600,3550,3400,3250,3050,2900
Стрежевой,11,1700,26,25.8,25.6,25.4,25.2,25,6500,6450,6400,6350,6300,6250
Сургут,9,1500,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Тобольск,9,1300,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Томск,11,1500,22.8,22.6,22.4,22.2,22,21.8,5700,5650,5600,5550,5500,5450
Тюмень,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
Хасавюрт,2,800,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
Челябинск,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
