Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,9,900,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Владикавказ,10,1400,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Грозный,7,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Дербент,8,950,19.6,19.4,19.2,18.9,18.5,17.9,4900,4850,4800,4725,4625,4475
Екатеринбург,3,500,10.8,10.4,10,9.8,9.6,9.4,2700,2600,2500,2450,2400,2350
Избербаш,9,900,20.8,20.4,20,19.2,18.8,18.4,5200,5100,5000,4800,4700,4600
Каспийск,9,900,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Краснодар,7,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Москва,7,700,17,16.6,16,15.6,15.2,14.8,4250,4150,4000,3900,3800,3700
Маджалис,8,950,19.6,19.4,19.2,18.9,18.5,17.9,4900,4850,4800,4725,4625,4475
Махачкала,8,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Нальчик,10,1400,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Пятигорск,9,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Ростов-на-Дону,8,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Санкт-Петербург,8,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Симферополь,10,800,25.2,24.4,23.8,23,22,21.6,6300,6100,5950,5750,5500,5400
Ставрополь,10,1400,21.6,21.4,21.2,21,20.8,20.4,5400,5350,5300,5250,5200,5100
Хасавюрт,8,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Черкесск,10,1400,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
