Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,10,900,21.6,21.2,20.4,19.6,18.8,18.4,5400,5300,5100,4900,4700,4600
Владикавказ,10,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Грозный,8,800,20.4,20,19.2,18.4,18,17.2,5100,5000,4800,4600,4500,4300
Дербент,10,950,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Екатеринбург,6,500,10.4,10.2,10,9.6,9.4,9,2600,2550,2500,2400,2350,2250
Избербаш,9,900,21.6,21.2,20.8,20,18.8,18.4,5400,5300,5200,5000,4700,4600
Каспийск,10,900,21.2,20.8,20.4,19.2,18.8,18,5300,5200,5100,4800,4700,4500
Краснодар,8,800,20.8,20.4,19.6,18.8,18.4,17.6,5200,5100,4900,4700,4600,4400
Москва,8,700,17.4,17.2,16.8,16.4,15.8,15.6,4350,4300,4200,4100,3950,3900
Маджалис,10,950,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Махачкала,9,800,20.8,20.4,19.6,18.8,18.4,17.6,5200,5100,4900,4700,4600,4400
Нальчик,10,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Пятигорск,9,900,20.8,20.4,19.6,18.8,18.4,17.6,5200,5100,4900,4700,4600,4400
Ростов-на-Дону,8,900,20.4,20,19.2,18.4,18,17.2,5100,5000,4800,4600,4500,4300
Санкт-Петербург,9,800,18,17.8,17.6,17.4,17.2,16.8,4500,4450,4400,4350,4300,4200
Симферополь,10,800,23.2,22.8,22,21.2,20.8,20,5800,5700,5500,5300,5200,5000
Ставрополь,10,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Хасавюрт,9,800,20.4,20,19.2,18.4,18,17.2,5100,5000,4800,4600,4500,4300
Черкесск,10,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
