Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,10,1100,25.2,25,24.6,24.2,23.8,22.2,6300,6250,6150,6050,5950,5550
Владикавказ,11,1700,25.2,25,24.8,24.6,24.4,24.2,6300,6250,6200,6150,6100,6050
Грозный,9,1000,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Дербент,10,1200,27,26.8,26.6,26.4,26.2,26,6750,6700,6650,6600,6550,6500
Екатеринбург,5,750,15.2,14.8,14.2,13.6,13.2,12.4,3800,3700,3550,3400,3300,3100
Избербаш,10,1200,27,26.8,26.6,26.4,26.2,26,6750,6700,6650,6600,6550,6500
Каспийск,10,1100,24.6,24.4,24,23.4,23,21.2,6150,6100,6000,5850,5750,5300
Краснодар,9,1100,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Москва,7,800,22,21.6,21,20,18,17,5500,5400,5250,5000,4500,4250
Маджалис,10,1200,27,26.8,26.6,26.4,26.2,26,6750,6700,6650,6600,6550,6500
Махачкала,9,1000,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Нальчик,11,1700,26,25.8,25.6,25.4,25.2,25,6500,6450,6400,6350,6300,6250
Пятигорск,10,1100,24,23.8,23.6,23.4,23.2,23,6000,5950,5900,5850,5800,5750
Ростов-на-Дону,9,1100,23.6,23.4,23,22.6,22.2,20.6,5900,5850,5750,5650,5550,5150
Санкт-Петербург,9,1000,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Симферополь,12,1300,34.8,34.6,34.4,34.2,34,33.8,8700,8650,8600,8550,8500,8450
Ставрополь,11,1700,28,27.8,27.6,27.4,27.2,27,7000,6950,6900,6850,6800,6750
Хасавюрт,9,1000,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Черкесск,11,1700,26,25.8,25.6,25.4,25.2,25,6500,6450,6400,6350,6300,6250
