Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,9,900,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Владикавказ,9,1500,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Грозный,7,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Дербент,8,950,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Екатеринбург,3,500,10.8,10.6,10.2,9.8,9.4,9.2,2700,2650,2550,2450,2350,2300
Избербаш,7,900,20.8,20.6,20.4,20,19.6,19.2,5200,5150,5100,5000,4900,4800
Каспийск,9,900,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Краснодар,7,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Москва,7,700,17,16.6,16.4,16,15.6,15.2,4250,4150,4100,4000,3900,3800
Маджалис,8,950,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Махачкала,8,800,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Нальчик,9,1500,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Пятигорск,8,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Ростов-на-Дону,7,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Санкт-Петербург,8,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Симферополь,11,800,20,19.8,19.6,19.4,19.2,19,5000,4950,4900,4850,4800,4750
Ставрополь,9,1500,20,19.8,19.6,19.4,19.2,19,5000,4950,4900,4850,4800,4750
Хасавюрт,8,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Черкесск,9,1500,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
