Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,2,300,4.2,4,3.8,3.6,3.4,3.2,1050,1000,950,900,850,800
Владикавказ,2,800,6.8,6.6,6.4,6.2,6,5.8,1700,1650,1600,1550,1500,1450
Грозный,1,250,3.2,3,2.8,2.6,2.4,2.2,800,750,700,650,600,550
Дербент,2,300,4,3.8,3.6,3.4,3.2,3,1000,950,900,850,800,750
Екатеринбург,6,600,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Избербаш,2,300,3.2,3,2.4,2,1.8,1.6,800,750,600,500,450,400
Каспийск,2,300,3.6,3.4,3.2,2.8,2.6,2.2,900,850,800,700,650,550
Краснодар ,2,300,5.6,5.4,5.2,5,4.8,4.6,1400,1350,1300,1250,1200,1150
Маджалис ,2,300,4,3.8,3.6,3.4,3.2,3,1000,950,900,850,800,750
Махачкала,1,200,3,2.8,2.6,2.4,2.2,2,750,700,650,600,550,500
Москва,3,300,7.6,7.1,6.8,6.2,6,5.8,1900,1775,1700,1550,1500,1450
Набережные Челны,6,500,12.2,11.6,11,10.6,10.4,10.2,3050,2900,2750,2650,2600,2550
Нальчик,2,800,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
Нефтеюганск,8,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Нижневартовск,8,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Новосибирск,9,800,20.4,20,19.2,18.4,18,17.2,5100,5000,4800,4600,4500,4300
Новый Уренгой,9,900,24,23.2,22.6,21.6,21.2,20.8,6000,5800,5650,5400,5300,5200
Ноябрьск,10,950,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Нягань,9,950,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Омск,9,950,18,17.8,17.6,17.4,17.2,17,4500,4450,4400,4350,4300,4250
Пермь,8,500,16,15.6,15.4,15,14.8,14.4,4000,3900,3850,3750,3700,3600
Пятигорск,2,300,4.8,4.6,4.4,4.2,4,3.8,1200,1150,1100,1050,1000,950
Ростов-на-Дону,1,300,5.6,5.4,5.2,5,4.8,4.6,1400,1350,1300,1250,1200,1150
Санкт-Петербург,4,500,11.6,11.4,11.2,10.8,10.6,10.4,2900,2850,2800,2700,2650,2600
Симферополь,4,500,12.8,12.4,12,11.4,11,10.4,3200,3100,3000,2850,2750,2600
Ставрополь,2,800,9.6,9.4,9.2,8.8,8.4,7.4,2400,2350,2300,2200,2100,1850
Стрежевой,9,1000,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Сургут,8,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Тобольск,10,900,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Томск,10,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Тюмень,7,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Челябинск,6,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Черкесск,2,800,6.8,6.6,6.4,6.2,5.8,5.4,1700,1650,1600,1550,1450,1350
