Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,8,800,17.6,17.2,17,16.6,16.4,16,4400,4300,4250,4150,4100,4000
Владикавказ,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
Грозный,7,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Дербент,8,800,17.6,17.2,17,16.6,16.4,16,4400,4300,4250,4150,4100,4000
Екатеринбург,1,350,5.4,5.2,5,4.4,4,3.8,1350,1300,1250,1100,1000,950
Избербаш,7,750,17.6,17.2,17,16.6,16.4,16,4400,4300,4250,4150,4100,4000
Каспийск,8,800,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Краснодар,7,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Москва,5,600,12,11.6,11.3,11,10.4,10,3000,2900,2825,2750,2600,2500
Маджалис,8,800,17.6,17.2,17,16.6,16.4,16,4400,4300,4250,4150,4100,4000
Махачкала,7,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Нальчик,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
Пятигорск,7,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Ростов-на-Дону,6,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Санкт-Петербург,6,600,13.6,13.4,13.2,12.8,12.4,12,3400,3350,3300,3200,3100,3000
Симферополь,10,700,20,19.6,19.2,18.8,18.4,18,5000,4900,4800,4700,4600,4500
Ставрополь,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
Хасавюрт,7,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Черкесск,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
