Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,4,900,7.6,7.4,7.2,7,6.8,6.6,1900,1850,1800,1750,1700,1650
Грозный,3,900,6.8,6.6,6.4,6.2,6,5.8,1700,1650,1600,1550,1500,1450
Дербент,3,1000,7.2,7,6.6,6.4,6.2,6,1800,1750,1650,1600,1550,1500
Екатеринбург,8,1300,14.8,14.4,14,13.6,13.2,12.8,3700,3600,3500,3400,3300,3200
Избербаш,3,900,7.6,7.4,7.2,7,6.8,6.6,1900,1850,1800,1750,1700,1650
Каспийск,3,900,7.4,7.2,7,6.6,6.4,6,1850,1800,1750,1650,1600,1500
Краснодар,3,800,6.8,6.6,6.4,6,5.8,5.6,1700,1650,1600,1500,1450,1400
Маджалис,3,1000,7.6,7.4,7.2,7,6.8,6.6,1900,1850,1800,1750,1700,1650
Махачкала,2,800,6.8,6.6,6.4,6.2,6,5.8,1700,1650,1600,1550,1500,1450
Москва,4,800,10,9.8,9.6,9.4,9,8.8,2500,2450,2400,2350,2250,2200
Набережные Челны,7,1000,12.8,12.6,12.4,12.2,12,11.4,3200,3150,3100,3050,3000,2850
Нефтеюганск,10,1400,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Нижневартовск,9,1500,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Новосибирск,10,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Новый Уренгой,11,1400,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
Ноябрьск,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Нягань,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Омск,11,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Пермь,7,1400,17.2,16.6,16.4,16.2,16,15.6,4300,4150,4100,4050,4000,3900
Пятигорск,1,1000,4.8,4.4,4,3.8,3.6,3.4,1200,1100,1000,950,900,850
Ростов-на-Дону,2,800,6.8,6.6,6.4,6,5.8,5.6,1700,1650,1600,1500,1450,1400
Санкт-Петербург,5,1000,12,11.8,11.6,11.4,11.2,11,3000,2950,2900,2850,2800,2750
Симферополь,4,800,12,11.8,11.6,11.4,11.2,11,3000,2950,2900,2850,2800,2750
Стрежевой,11,1700,25.2,25,24.8,24.6,24.4,24.2,6300,6250,6200,6150,6100,6050
Сургут,9,1500,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Тобольск,9,1300,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Томск,11,1500,22.8,22.6,22.4,22.2,22,21.8,5700,5650,5600,5550,5500,5450
Тюмень,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
Хасавюрт,2,800,6.8,6.6,6.4,6.2,6,5.8,1700,1650,1600,1550,1500,1450
Челябинск,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
