Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,2,300,3,2.8,2.6,2.4,2.2,2,750,700,650,600,550,500
Владикавказ,3,900,7.6,7.4,7.2,7,6.8,6.6,1900,1850,1800,1750,1700,1650
Грозный,3,300,4.9,4.6,4.3,4,3.8,3.6,1225,1150,1075,1000,950,900
Дербент,1,300,2,1.8,1.6,1.4,1.2,1,500,450,400,350,300,250
Екатеринбург,6,800,16,15.8,15.6,15.4,15.2,14.8,4000,3950,3900,3850,3800,3700
Каспийск,2,300,2.4,2.2,2,1.6,1.4,1,600,550,500,400,350,250
Краснодар,3,300,7.6,7.4,7.2,6.8,6,5.8,1900,1850,1800,1700,1500,1450
Маджалис,1,300,1.8,1.6,1.4,1.2,1,0.8,450,400,350,300,250,200
Махачкала,1,300,1.8,1.6,1.4,1.2,1,0.8,450,400,350,300,250,200
Москва,3,400,8.8,8.3,7.8,7.6,7.2,6.8,2200,2075,1950,1900,1800,1700
Набережные Челны,6,600,12.6,12.1,11.8,11.4,11.2,11,3150,3025,2950,2850,2800,2750
Нальчик,3,900,8,7.8,7.6,7.2,6.8,6.4,2000,1950,1900,1800,1700,1600
Нефтеюганск,9,900,20.8,20.4,20,19.2,18.8,18.4,5200,5100,5000,4800,4700,4600
Нижневартовск,7,900,20.8,20.6,20.4,20,19.6,19.2,5200,5150,5100,5000,4900,4800
Новосибирск,9,900,21.6,21.2,20.8,20,18.8,18.4,5400,5300,5200,5000,4700,4600
Новый Уренгой,10,1100,23.1,22.6,22.1,21.5,21,20.8,5775,5650,5525,5375,5250,5200
Ноябрьск,14,1000,21.5,21,20.5,20,19.4,18.9,5375,5250,5125,5000,4850,4725
Нягань,10,1000,23,22.8,22.6,22.4,22.2,22,5750,5700,5650,5600,5550,5500
Омск,10,900,18,17.6,17.2,16.8,16,15.6,4500,4400,4300,4200,4000,3900
Пермь,6,600,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Пятигорск,2,300,6,5.6,5.2,4.8,4.4,4,1500,1400,1300,1200,1100,1000
Ростов-на-Дону,3,300,7.6,7.4,7.2,6.8,6,5.8,1900,1850,1800,1700,1500,1450
Санкт-Петербург,5,600,13.2,13,12.8,12.4,12,11.6,3300,3250,3200,3100,3000,2900
Симферополь,4,600,16,15.4,14.8,14.2,13.6,13.2,4000,3850,3700,3550,3400,3300
Ставрополь,3,900,10.4,10,9.6,9.2,8.8,8.4,2600,2500,2400,2300,2200,2100
Стрежевой,10,1200,27,26.8,26.6,26.4,26.2,26,6750,6700,6650,6600,6550,6500
Сургут,7,900,20.8,20.6,20.4,20,19.6,19.2,5200,5150,5100,5000,4900,4800
Тобольск,10,1000,20,19.8,19.6,19.4,19.2,19,5000,4950,4900,4850,4800,4750
Томск,12,1200,22.6,22.4,22.2,21.8,21.6,21.2,5650,5600,5550,5450,5400,5300
Тюмень,7,750,17.6,17.2,17,16.6,16.4,16,4400,4300,4250,4150,4100,4000
Хасавюрт,2,300,3.2,3,2.4,2,1.8,1.6,800,750,600,500,450,400
Челябинск,6,750,17.6,17.2,17,16.6,16.4,16,4400,4300,4250,4150,4100,4000
Черкесск,3,900,8,7.8,7.6,7.2,6.8,6.4,2000,1950,1900,1800,1700,1600
