Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,1,300,2.8,2.6,2.5,2.2,2,1.6,700,650,625,550,500,400
Владикавказ,3,900,7.4,7.2,7,6.6,6.4,6,1850,1800,1750,1650,1600,1500
Грозный,2,350,3.8,3.6,3.4,3,2.8,2.4,950,900,850,750,700,600
Дербент,2,300,2.6,2.4,2.2,1.8,1.6,1.2,650,600,550,450,400,300
Екатеринбург,7,700,14.8,14.4,14,13.6,13.2,12.8,3700,3600,3500,3400,3300,3200
Избербаш,2,200,2.4,2.2,2,1.6,1.4,1,600,550,500,400,350,250
Краснодар,3,300,5.8,5.6,5.4,5,4.8,4.4,1450,1400,1350,1250,1200,1100
Маджалис,2,300,2.6,2.4,2.2,1.8,1.6,1.4,650,600,550,450,400,350
Махачкала,1,200,2.2,2,1.9,1.8,1.6,1.4,550,500,475,450,400,350
Москва,4,300,7.6,7.1,6.8,6.6,6.4,6,1900,1775,1700,1650,1600,1500
Набережные Челны,7,600,12.8,12.2,11.6,11,10.8,10.4,3200,3050,2900,2750,2700,2600
Нальчик,3,900,7.4,7.2,7,6.6,6.2,5.6,1850,1800,1750,1650,1550,1400
Нефтеюганск,9,900,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Нижневартовск,10,900,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Новосибирск,10,900,21.2,20.8,20.4,19.2,18.8,18,5300,5200,5100,4800,4700,4500
Новый Уренгой,10,1000,24.8,24,23.4,22.4,22,21.6,6200,6000,5850,5600,5500,5400
Ноябрьск,11,1050,21.6,20.8,20.2,19.4,18.8,18,5400,5200,5050,4850,4700,4500
Нягань,10,1000,21.6,20.8,20.2,19.4,18.8,18,5400,5200,5050,4850,4700,4500
Омск,10,1000,18.6,18.4,18.2,17.8,17.6,17.2,4650,4600,4550,4450,4400,4300
Пермь,9,600,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Пятигорск,3,300,5.4,5.2,5,4.6,4.4,3.8,1350,1300,1250,1150,1100,950
Ростов-на-Дону,2,300,6.2,6,5.8,5.4,5.2,4.8,1550,1500,1450,1350,1300,1200
Санкт-Петербург,5,500,11.6,11.4,11.2,10.8,10.6,10.4,2900,2850,2800,2700,2650,2600
Симферополь,5,600,13.6,13.2,12.8,12,11.4,10.8,3400,3300,3200,3000,2850,2700
Ставрополь,3,900,10.2,10,9.8,9.2,8.8,7.6,2550,2500,2450,2300,2200,1900
Стрежевой,10,1100,24.6,24.4,24,23.4,23,21.2,6150,6100,6000,5850,5750,5300
Сургут,9,900,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Тобольск,11,1000,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Томск,12,1200,22.6,22.4,22.2,21.8,21.6,21.2,5650,5600,5550,5450,5400,5300
Тюмень,8,800,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Хасавюрт,2,300,3.6,3.4,3.2,2.8,2.6,2.2,900,850,800,700,650,550
Челябинск,7,800,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Черкесск,3,900,7.4,7.2,7,6.6,6.2,5.6,1850,1800,1750,1650,1550,1400
