Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,4,400,8.8,8.3,7.8,7.6,7.2,6.8,2200,2075,1950,1900,1800,1700
Владикавказ,4,800,10,9.8,9.6,9.4,9,8.8,2500,2450,2400,2350,2250,2200
Грозный,3,400,7.6,7.4,7.2,7,6.8,6.6,1900,1850,1800,1750,1700,1650
Дербент,4,500,9,8.7,8.4,7.8,7.4,7,2250,2175,2100,1950,1850,1750
Екатеринбург,3,500,10.8,10.6,10.4,10,9.4,9.2,2700,2650,2600,2500,2350,2300
Избербаш,3,400,8.8,8.3,7.8,7.6,7.2,6.8,2200,2075,1950,1900,1800,1700
Каспийск,4,300,7.6,7.1,6.8,6.6,6.4,6,1900,1775,1700,1650,1600,1500
Краснодар,2,400,8.8,8.4,8,7.6,7.2,6.8,2200,2100,2000,1900,1800,1700
Маджалис,4,500,9,8.7,8.4,7.8,7.4,7,2250,2175,2100,1950,1850,1750
Махачкала,3,300,7.6,7.1,6.8,6.2,6,5.8,1900,1775,1700,1550,1500,1450
Набережные Челны,3,500,10.8,10.4,10,9.6,9.2,8.8,2700,2600,2500,2400,2300,2200
Нальчик,4,800,11.2,11,10.8,10.4,10,9.2,2800,2750,2700,2600,2500,2300
Нефтеюганск,7,700,17,16.6,16,15.6,15.2,14.8,4250,4150,4000,3900,3800,3700
Нижневартовск,7,700,17,16.8,16.4,16,15.6,15.2,4250,4200,4100,4000,3900,3800
Новосибирск,8,700,17.4,17.2,16.8,16.4,15.8,15.6,4350,4300,4200,4100,3950,3900
Новый Уренгой,8,800,20,19.6,19.2,18.8,18.2,17.8,5000,4900,4800,4700,4550,4450
Ноябрьск,7,700,17.2,16.8,16.4,16,15.6,15.2,4300,4200,4100,4000,3900,3800
Нягань,7,700,15.6,15.4,15.2,15,14.8,14.6,3900,3850,3800,3750,3700,3650
Омск,7,600,15.2,14.8,14.4,14,13.6,13.2,3800,3700,3600,3500,3400,3300
Пермь,3,500,11.6,11.4,11,10.4,10,9.6,2900,2850,2750,2600,2500,2400
Пятигорск,3,400,9.2,8.8,8.2,7.6,7,6.8,2300,2200,2050,1900,1750,1700
Ростов-на-Дону,2,400,8.8,8.4,8,7.6,7.2,6.8,2200,2100,2000,1900,1800,1700
Санкт-Петербург,1,300,6.8,6.6,6.4,6,5.8,5.6,1700,1650,1600,1500,1450,1400
Симферополь,4,500,14,13.6,13,12.4,12,11.6,3500,3400,3250,3100,3000,2900
Ставрополь,4,800,12.8,12.6,12.4,11.6,11.2,10.8,3200,3150,3100,2900,2800,2700
Стрежевой,7,800,22,21.6,21,20,18,17,5500,5400,5250,5000,4500,4250
Сургут,7,700,17,16.6,16.4,16,15.6,15.2,4250,4150,4100,4000,3900,3800
Тобольск,5,700,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Томск,8,600,18.4,18,17.6,17.2,16.8,16.4,4600,4500,4400,4300,4200,4100
Тюмень,5,600,12.4,12,11.6,11.2,10.8,10.4,3100,3000,2900,2800,2700,2600
Хасавюрт,3,300,7.6,7.1,6.8,6.2,6,5.8,1900,1775,1700,1550,1500,1450
Челябинск,4,600,12,11.6,11.3,11,10.4,10,3000,2900,2825,2750,2600,2500
Черкесск,4,800,11.2,11,10.8,10.4,10,9.2,2800,2750,2700,2600,2500,2300
