Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Владикавказ,7,1000,12.8,12.6,12.4,12.2,12,11.4,3200,3150,3100,3050,3000,2850
Буйнакск,7,600,12.6,12.2,11.8,11.4,11,10.8,3150,3050,2950,2850,2750,2700
Грозный,5,600,12.2,11.6,11,10.8,10.6,10.4,3050,2900,2750,2700,2650,2600
Дербент,7,700,12.6,12,11.6,11.2,11,10.9,3150,3000,2900,2800,2750,2725
Екатеринбург,3,450,7.6,7.4,7,6.8,6.6,6.4,1900,1850,1750,1700,1650,1600
Избербаш,6,600,12.6,12.1,11.8,11.4,11.2,11,3150,3025,2950,2850,2800,2750
Каспийск,7,600,12.8,12.2,11.6,11,10.8,10.4,3200,3050,2900,2750,2700,2600
Краснодар,5,600,12.8,12.4,12,11.6,11.2,10.8,3200,3100,3000,2900,2800,2700
Москва,3,500,10.8,10.4,10,9.6,9.2,8.8,2700,2600,2500,2400,2300,2200
Маджалис,7,700,12.6,12,11.6,11.2,11,10.9,3150,3000,2900,2800,2750,2725
Махачкала,6,500,12.2,11.6,11,10.6,10.4,10.2,3050,2900,2750,2650,2600,2550
Нальчик,7,1000,13.6,13.2,12.8,12.4,12,11.6,3400,3300,3200,3100,3000,2900
Пятигорск,6,600,12.8,12.4,12,11.6,11.2,10.8,3200,3100,3000,2900,2800,2700
Ростов-на-Дону,5,600,12.8,12.4,12,11.6,11.2,10.8,3200,3100,3000,2900,2800,2700
Санкт-Петербург,5,500,11.6,11.4,11.2,10.8,10.6,10.4,2900,2850,2800,2700,2650,2600
Симферополь,8,1000,16.2,15.8,14.8,14.2,13.4,12.6,4050,3950,3700,3550,3350,3150
Ставрополь,7,1000,13.6,13.2,12.8,12.4,12,11.6,3400,3300,3200,3100,3000,2900
Хасавюрт,6,500,12.2,11.6,11,10.6,10.4,10.2,3050,2900,2750,2650,2600,2550
Черкесск,7,1000,13.6,13.2,12.8,12.4,12,11.6,3400,3300,3200,3100,3000,2900
