Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,10,1000,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
Владикавказ,11,1400,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
Грозный,10,900,24,23.2,22.6,21.6,21.2,20.8,6000,5800,5650,5400,5300,5200
Дербент,10,1000,24.4,23.6,23,22,21.6,21.2,6100,5900,5750,5500,5400,5300
Екатеринбург,4,700,14.8,14.4,14,13.6,13.4,13.2,3700,3600,3500,3400,3350,3300
Избербаш,10,1100,23.1,22.6,22.1,21.5,21,20.8,5775,5650,5525,5375,5250,5200
Каспийск,10,1000,24.8,24,23.4,22.4,22,21.6,6200,6000,5850,5600,5500,5400
Краснодар,9,900,24.4,23.6,23,22,21.6,21.2,6100,5900,5750,5500,5400,5300
Москва,8,800,20,19.6,19.2,18.8,18.2,17.8,5000,4900,4800,4700,4550,4450
Маджалис,10,1000,24.4,23.6,23,22,21.6,21.2,6100,5900,5750,5500,5400,5300
Махачкала,9,900,24.4,23.6,23,22,21.6,21.2,6100,5900,5750,5500,5400,5300
Нальчик,11,1400,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
Пятигорск,10,900,24.4,23.6,23,22,21.6,21.2,6100,5900,5750,5500,5400,5300
Ростов-на-Дону,9,800,24,23.2,22.6,21.6,21.2,20.8,6000,5800,5650,5400,5300,5200
Санкт-Петербург,9,800,25.2,24.8,24.4,24,23.6,23.2,6300,6200,6100,6000,5900,5800
Симферополь,12,900,28.4,27.6,27.4,27.2,27,26.8,7100,6900,6850,6800,6750,6700
Ставрополь,11,1400,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
Хасавюрт,9,900,24,23.2,22.6,21.6,21.2,20.8,6000,5800,5650,5400,5300,5200
Черкесск,11,1400,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
