Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,11,1050,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Владикавказ,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Грозный,9,900,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Дербент,13,1000,22.8,22,21.2,20.8,20.4,20,5700,5500,5300,5200,5100,5000
Екатеринбург,2,500,11,10.8,10.6,10.4,10.2,9.8,2750,2700,2650,2600,2550,2450
Избербаш,14,1000,21.5,21,20.5,20,19.4,18.9,5375,5250,5125,5000,4850,4725
Каспийск,11,1050,21.6,20.8,20.2,19.4,18.8,18,5400,5200,5050,4850,4700,4500
Краснодар,9,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Москва,7,700,17.2,16.8,16.4,16,15.6,15.2,4300,4200,4100,4000,3900,3800
Маджалис,13,1000,21.2,20.8,20.4,19.6,19.2,18.7,5300,5200,5100,4900,4800,4675
Махачкала,10,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Нальчик,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Пятигорск,10,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Ростов-на-Дону,9,900,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Санкт-Петербург,9,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Симферополь,12,950,23.2,22.8,22,21.2,20.8,20,5800,5700,5500,5300,5200,5000
Ставрополь,11,1500,23.6,23.4,23.2,23,22.6,22.2,5900,5850,5800,5750,5650,5550
Хасавюрт,10,950,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Черкесск,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
