Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,10,1000,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Владикавказ,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Грозный,9,950,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Дербент,10,1000,23,22.8,22.6,22.4,22.2,22,5750,5700,5650,5600,5550,5500
Екатеринбург,4,500,9.6,9.4,9.2,9,8.8,8.4,2400,2350,2300,2250,2200,2100
Избербаш,10,1000,23,22.8,22.6,22.4,22.2,22,5750,5700,5650,5600,5550,5500
Каспийск,10,1000,21.6,20.8,20.2,19.4,18.8,18,5400,5200,5050,4850,4700,4500
Краснодар,9,1000,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Москва,7,700,15.6,15.4,15.2,15,14.8,14.6,3900,3850,3800,3750,3700,3650
Маджалис,10,1000,23,22.8,22.6,22.4,22.2,22,5750,5700,5650,5600,5550,5500
Махачкала,9,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Нальчик,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
Пятигорск,10,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Ростов-на-Дону,9,950,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Санкт-Петербург,8,900,21,20.8,20.6,20.4,20,17,5250,5200,5150,5100,5000,4250
Симферополь,12,950,23.2,22.8,22,21.2,20.8,20,5800,5700,5500,5300,5200,5000
Ставрополь,11,1500,23.2,23,22.8,22.6,22.4,22.2,5800,5750,5700,5650,5600,5550
Хасавюрт,9,950,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Черкесск,11,1500,22,21.2,20.6,19.8,19.2,18.4,5500,5300,5150,4950,4800,4600
