Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,10,1000,19.2,19,18.8,18.6,18.4,18.2,4800,4750,4700,4650,4600,4550
Владикавказ,11,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Грозный,9,950,18,17.8,17.6,17.4,17.2,17,4500,4450,4400,4350,4300,4250
Дербент,10,1000,20.4,20.2,20,19.8,19.6,19.4,5100,5050,5000,4950,4900,4850
Екатеринбург,4,500,7.4,7,6.8,6.6,6.4,6,1850,1750,1700,1650,1600,1500
Избербаш,10,900,18,17.6,17.2,16.8,16,15.6,4500,4400,4300,4200,4000,3900
Каспийск,10,1000,18.6,18.4,18.2,17.8,17.6,17.2,4650,4600,4550,4450,4400,4300
Краснодар,9,900,18,17.8,17.6,17.4,17.2,17,4500,4450,4400,4350,4300,4250
Москва,7,600,15.2,14.8,14.4,14,13.6,13.2,3800,3700,3600,3500,3400,3300
Маджалис,10,1000,20.4,20.2,20,19.8,19.6,19.4,5100,5050,5000,4950,4900,4850
Махачкала,9,900,18,17.8,17.6,17.4,17.2,17,4500,4450,4400,4350,4300,4250
Нальчик,11,1400,21.6,21.2,2.04,19.6,19.2,18.4,5400,5300,510,4900,4800,4600
Пятигорск,10,900,20.8,20.4,19.6,18.8,18.4,17.6,5200,5100,4900,4700,4600,4400
Ростов-на-Дону,9,1000,17.6,17.4,17.2,17,16.8,16.6,4400,4350,4300,4250,4200,4150
Санкт-Петербург,9,900,16.8,16.6,16.4,16,15.6,15.2,4200,4150,4100,4000,3900,3800
Симферополь,12,900,25,24.8,24.6,24.4,24.2,24,6250,6200,6150,6100,6050,6000
Ставрополь,11,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Хасавюрт,9,950,18,17.8,17.6,17.4,17.2,17,4500,4450,4400,4350,4300,4250
Черкесск,11,1400,21.6,21.2,2.04,19.6,19.2,18.4,5400,5300,510,4900,4800,4600
