Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,9,600,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Владикавказ,7,1400,17.2,16.6,16.4,16.2,16,15.6,4300,4150,4100,4050,4000,3900
Грозный,6,500,16,15.6,15.4,15,14.8,14.4,4000,3900,3850,3750,3700,3600
Дербент,6,500,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Екатеринбург,1,400,5.8,5.6,5.4,5,4.6,4.2,1450,1400,1350,1250,1150,1050
Избербаш,6,600,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Каспийск,9,600,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Краснодар,6,600,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Москва,3,500,11.6,11.4,11,10.4,10,9.6,2900,2850,2750,2600,2500,2400
Маджалис,6,500,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Махачкала,8,500,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Нальчик,7,1100,17.2,16.6,16.4,16.2,16,15.6,4300,4150,4100,4050,4000,3900
Пятигорск,7,600,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Ростов-на-Дону,5,900,16,15.6,15.4,15,14.8,14.4,4000,3900,3850,3750,3700,3600
Санкт-Петербург,9,700,12.4,12.2,12,11.6,11.2,10.8,3100,3050,3000,2900,2800,2700
Симферополь,9,500,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Ставрополь,7,1400,17.2,16.6,16.4,16.2,16,15.6,4300,4150,4100,4050,4000,3900
Хасавюрт,8,500,16,15.6,15.4,15,14.8,14.4,4000,3900,3850,3750,3700,3600
Черкесск,7,1100,17.2,16.6,16.4,16.2,16,15.6,4300,4150,4100,4050,4000,3900
