Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,3,300,6,5.8,5.6,5.2,4.8,4.4,1500,1450,1400,1300,1200,1100
Владикавказ,3,1000,4.8,4.4,4,3.8,3.6,3.4,1200,1100,1000,950,900,850
Грозный,2,300,4.8,4.6,4.4,4.2,3.8,3.4,1200,1150,1100,1050,950,850
Дербент,2,400,5.8,5.6,5.4,5.2,5,4.4,1450,1400,1350,1300,1250,1100
Екатеринбург,7,700,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Избербаш,2,300,6,5.6,5.2,4.8,4.4,4,1500,1400,1300,1200,1100,1000
Каспийск,3,300,5.4,5.2,5,4.6,4.4,3.8,1350,1300,1250,1150,1100,950
Краснодар,2,300,5,4.8,4.6,4.4,4.2,4,1250,1200,1150,1100,1050,1000
Маджалис,2,400,5.8,5.6,5.4,5.2,5,4.4,1450,1400,1350,1300,1250,1100
Махачкала,1,300,4.8,4.6,4.4,4.2,4,3.6,1200,1150,1100,1050,1000,900
Москва,4,400,7.6,7.4,7.2,6.8,6.4,6,1900,1850,1800,1700,1600,1500
Набережные Челны,6,600,12.8,12.4,12,11.6,11.2,10.8,3200,3100,3000,2900,2800,2700
Нальчик,1,600,3.2,2.8,2.4,2,1.6,1.4,800,700,600,500,400,350
Нефтеюганск,9,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Нижневартовск,8,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Новосибирск,9,900,20.8,20.4,19.6,18.8,18.4,17.6,5200,5100,4900,4700,4600,4400
Новый Уренгой,10,900,24.4,23.6,23,22,21.6,21.2,6100,5900,5750,5500,5400,5300
Ноябрьск,10,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Нягань,10,950,21.2,20.4,19.8,19,18.4,17.6,5300,5100,4950,4750,4600,4400
Омск,10,900,20.8,20.4,19.6,18.8,18.4,17.6,5200,5100,4900,4700,4600,4400
Пермь,7,600,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Ростов-на-Дону,1,300,4.8,4.6,4.4,4.2,4,3.8,1200,1150,1100,1050,1000,950
Санкт-Петербург,5,500,10.4,10.2,10,9.8,9.6,9.2,2600,2550,2500,2450,2400,2300
Симферополь,4,400,13.6,13.4,12.8,12.2,11.4,10.8,3400,3350,3200,3050,2850,2700
Ставрополь,1,1000,4.8,4.4,4,3.8,3.6,3.4,1200,1100,1000,950,900,850
Стрежевой,10,1100,24,23.8,23.6,23.4,23.2,23,6000,5950,5900,5850,5800,5750
Сургут,8,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Тобольск,8,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Томск,10,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Тюмень,7,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Хасавюрт,1,300,4.8,4.6,4.4,4.2,4,3.8,1200,1150,1100,1050,1000,950
Челябинск,7,700,16.8,16.4,16.2,15.8,15.6,15.2,4200,4100,4050,3950,3900,3800
Черкесск,1,600,3.2,2.8,2.4,2,1.6,1.4,800,700,600,500,400,350
