Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,2,300,6.6,6.4,6.2,6,5.8,5.6,1650,1600,1550,1500,1450,1400
Владикавказ,2,800,6.8,6.6,6.4,6,5.8,5.6,1700,1650,1600,1500,1450,1400
Грозный,2,300,6,5.8,5.6,5.4,5.2,5,1500,1450,1400,1350,1300,1250
Дербент,3,300,7.6,7.4,7.2,6.8,6,5.6,1900,1850,1800,1700,1500,1400
Екатеринбург,5,600,13.2,12.8,12.4,12,11.6,11.2,3300,3200,3100,3000,2900,2800
Избербаш,3,300,7.6,7.4,7.2,6.8,6,5.8,1900,1850,1800,1700,1500,1450
Каспийск,2,300,6.2,6,5.8,5.4,5.2,4.8,1550,1500,1450,1350,1300,1200
Краснодар,1,300,5.2,5,4.8,4.6,4.4,4.2,1300,1250,1200,1150,1100,1050
Маджалис,3,300,8,7.6,7.2,7,6.4,6,2000,1900,1800,1750,1600,1500
Махачкала,1,300,5.6,5.4,5.2,5,4.8,4.6,1400,1350,1300,1250,1200,1150
Москва,2,300,6.8,6.6,6.4,6.2,6,5.8,1700,1650,1600,1550,1500,1450
Набережные Челны,5,600,12.8,12.4,12,11.6,11.2,10.8,3200,3100,3000,2900,2800,2700
Нальчик,2,800,8.8,8.6,8.4,8,7.8,7.6,2200,2150,2100,2000,1950,1900
Нефтеюганск,8,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Нижневартовск,8,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Новосибирск,8,900,20.4,20,19.2,18.4,18,17.2,5100,5000,4800,4600,4500,4300
Новый Уренгой,9,800,24,23.2,22.6,21.6,21.2,20.8,6000,5800,5650,5400,5300,5200
Ноябрьск,9,900,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Нягань,9,950,20.8,20,19.4,18.6,18,17.2,5200,5000,4850,4650,4500,4300
Омск,9,1000,17.6,17.4,17.2,17,16.8,16.6,4400,4350,4300,4250,4200,4150
Пермь,5,900,16,15.6,15.4,15,14.8,14.4,4000,3900,3850,3750,3700,3600
Пятигорск,1,200,4.8,4.6,4.4,4.2,4,3.8,1200,1150,1100,1050,1000,950
Санкт-Петербург,3,500,9.6,9.4,9.2,8.8,8.4,8,2400,2350,2300,2200,2100,2000
Симферополь,3,300,9.2,8,7.4,6.8,6.2,5.4,2300,2000,1850,1700,1550,1350
Ставрополь,2,800,8.8,8.6,8.4,8,7.8,7.6,2200,2150,2100,2000,1950,1900
Стрежевой,9,1100,23.6,23.4,23,22.6,22.2,20.6,5900,5850,5750,5650,5550,5150
Сургут,7,800,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Тобольск,7,700,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Томск,9,1200,22,21.4,21.2,21,20.8,20.6,5500,5350,5300,5250,5200,5150
Тюмень,6,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Хасавюрт,1,300,5.6,5.4,5.2,5,4.8,4.6,1400,1350,1300,1250,1200,1150
Челябинск,6,700,16.4,16,15.8,15.4,15.2,14.8,4100,4000,3950,3850,3800,3700
Черкесск,2,800,8.8,8.6,8.4,8,7.8,7.6,2200,2150,2100,2000,1950,1900
