Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,5,600,13.2,13,12.8,12.4,12,11.6,3300,3250,3200,3100,3000,2900
Владикавказ,5,1000,12,11.8,11.6,11.4,11.2,11,3000,2950,2900,2850,2800,2750
Грозный,5,500,12,11.6,11.2,10.8,10.6,10.4,3000,2900,2800,2700,2650,2600
Дербент,5,600,13.2,13,12.8,12.4,12,11.6,3300,3250,3200,3100,3000,2900
Екатеринбург,5,600,12.4,12,11.4,10.8,10.4,10,3100,3000,2850,2700,2600,2500
Избербаш,5,600,13.2,13,12.8,12.4,12,11.6,3300,3250,3200,3100,3000,2900
Каспийск,5,500,11.6,11.4,11.2,10.8,10.6,10.4,2900,2850,2800,2700,2650,2600
Краснодар,4,500,10.8,10.7,10.4,10,9.6,9.2,2700,2675,2600,2500,2400,2300
Маджалис,5,600,13.2,13,12.8,12.4,12,11.6,3300,3250,3200,3100,3000,2900
Махачкала,4,500,11.6,11.4,11.2,10.8,10.6,10.4,2900,2850,2800,2700,2650,2600
Москва,1,300,6.8,6.6,6.4,6,5.8,5.6,1700,1650,1600,1500,1450,1400
Набережные Челны,5,500,11.6,11.4,11.2,10.8,10.6,10.4,2900,2850,2800,2700,2650,2600
Нальчик,5,1000,12,11.8,11.6,11.4,11.2,11,3000,2950,2900,2850,2800,2750
Нефтеюганск,8,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Нижневартовск,8,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Новосибирск,9,800,18,17.8,17.6,17.4,17.2,16.8,4500,4450,4400,4350,4300,4200
Новый Уренгой,9,800,25.2,24.8,24.4,24,23.6,23.2,6300,6200,6100,6000,5900,5800
Ноябрьск,9,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Нягань,8,900,21,20.8,20.6,20.4,20,17,5250,5200,5150,5100,5000,4250
Омск,9,900,16.8,16.6,16.4,16,15.6,15.2,4200,4150,4100,4000,3900,3800
Пермь,9,700,12.4,12.2,12,11.6,11.2,10.8,3100,3050,3000,2900,2800,2700
Пятигорск,5,500,11.4,11,10.6,10.4,10.2,9.8,2850,2750,2650,2600,2550,2450
Ростов-на-Дону,3,500,10.4,9.8,9.4,9,8.8,8.6,2600,2450,2350,2250,2200,2150
Симферополь,6,500,16.6,15.8,15,13.8,13,12.6,4150,3950,3750,3450,3250,3150
Ставрополь,5,1000,14.8,14.6,14.4,14,13.8,13.2,3700,3650,3600,3500,3450,3300
Стрежевой,9,1000,24,23.8,23.4,23,22.6,21,6000,5950,5850,5750,5650,5250
Сургут,8,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Тобольск ,10,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Томск,10,800,25,24.6,24.2,23.8,23.4,19,6250,6150,6050,5950,5850,4750
Тюмень,6,600,14.8,14.6,14.4,14,13.6,13.2,3700,3650,3600,3500,3400,3300
Хасавюрт,4,500,11.6,11.4,11.2,10.8,10.6,10.4,2900,2850,2800,2700,2650,2600
Челябинск,6,600,13.6,13.4,13.2,12.8,12.4,12,3400,3350,3300,3200,3100,3000
Черкесск,5,1000,12,11.8,11.6,11.4,11.2,11,3000,2950,2900,2850,2800,2750
