Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,5,600,15.6,15.2,14.6,14,13.6,13.2,3900,3800,3650,3500,3400,3300
Владикавказ,4,800,12,11.8,11.6,11.4,11.2,11,3000,2950,2900,2850,2800,2750
Грозный,4,500,13,12.8,12.6,12,11.4,10.8,3250,3200,3150,3000,2850,2700
Дербент,4,700,21.2,20.6,20,19.2,18.6,17.6,5300,5150,5000,4800,4650,4400
Екатеринбург,8,600,18,17.6,17.2,16.8,16.4,16,4500,4400,4300,4200,4100,4000
Избербаш,4,600,16,15.4,14.8,14.2,13.6,13.2,4000,3850,3700,3550,3400,3300
Каспийск,5,600,13.6,13.2,12.8,12,11.4,10.8,3400,3300,3200,3000,2850,2700
Краснодар,1,300,8,7.8,7.2,6.8,5.8,5.2,2000,1950,1800,1700,1450,1300
Маджалис,4,700,21.2,20.6,20,19.2,18.6,17.6,5300,5150,5000,4800,4650,4400
Махачкала,3,500,13.2,12.8,12.4,11.6,11,10.4,3300,3200,3100,2900,2750,2600
Москва,4,500,14,13.6,13,12.4,12,11.6,3500,3400,3250,3100,3000,2900
Набережные Челны,8,1000,16.2,15.8,14.8,14.2,13.4,12.6,4050,3950,3700,3550,3350,3150
Нальчик,4,800,13.2,13,12.8,12.6,12.4,12.2,3300,3250,3200,3150,3100,3050
Нефтеюганск,10,800,25.2,24.4,23.8,23,22,21.6,6300,6100,5950,5750,5500,5400
Нижневартовск,10,800,22.4,21.6,21.2,20,19.2,18.4,5600,5400,5300,5000,4800,4600
Новосибирск,10,800,23.2,22.8,22,21.2,20.8,20,5800,5700,5500,5300,5200,5000
Новый Уренгой,12,900,28.4,27.6,27.4,27.2,27,26.8,7100,6900,6850,6800,6750,6700
Ноябрьск,12,950,23.2,22.8,22,21.2,20.8,20,5800,5700,5500,5300,5200,5000
Нягань,12,950,23.2,22.8,22,21.2,20.8,20,5800,5700,5500,5300,5200,5000
Омск,12,900,25,24.8,24.6,24.4,24.2,24,6250,6200,6150,6100,6050,6000
Пермь,9,500,17.2,16.8,16.6,16.2,16,15.6,4300,4200,4150,4050,4000,3900
Пятигорск,4,400,13.6,13.4,12.8,12.2,11.4,10.8,3400,3350,3200,3050,2850,2700
Ростов-на-Дону,3,300,9.2,8,7.4,6.8,6.2,5.4,2300,2000,1850,1700,1550,1350
Санкт-Петербург,6,500,16.6,15.8,15,13.8,13,12.6,4150,3950,3750,3450,3250,3150
Ставрополь,4,800,14.4,14.2,14,13.8,13.6,13.4,3600,3550,3500,3450,3400,3350
Стрежевой,12,1300,34.8,34.6,34.4,34.2,34,33.8,8700,8650,8600,8550,8500,8450
Сургут,11,800,20,19.8,19.6,19.4,19.2,19,5000,4950,4900,4850,4800,4750
Тобольск,10,1000,25.8,25.6,25.4,25.2,25,24.8,6450,6400,6350,6300,6250,6200
Томск,13,1100,28.8,28.6,28.4,28.2,28,27.8,7200,7150,7100,7050,7000,6950
Тюмень,10,700,20,19.6,19.2,18.8,18.4,18,5000,4900,4800,4700,4600,4500
Хасавюрт,3,500,12.8,12.4,12,11.4,11,10.4,3200,3100,3000,2850,2750,2600
Челябинск,9,700,20,19.6,19.2,18.8,18.4,18,5000,4900,4800,4700,4600,4500
Черкесск,4,800,13.2,13,12.8,12.6,12.4,12.2,3300,3250,3200,3150,3100,3050
