Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,4,900,10.4,10,9.6,9.2,8.8,8.4,2600,2500,2400,2300,2200,2100
Грозный,3,900,9.6,9.2,9,8.8,8.2,7.6,2400,2300,2250,2200,2050,1900
Дербент,3,1000,10.8,10.4,10,9.6,9.2,8.4,2700,2600,2500,2400,2300,2100
Екатеринбург,8,1300,16.4,16,15.6,15.2,14.4,14,4100,4000,3900,3800,3600,3500
Избербаш,3,900,10.4,10,9.6,9.2,8.8,8.4,2600,2500,2400,2300,2200,2100
Каспийск,3,900,10.2,10,9.8,9.2,8.8,7.6,2550,2500,2450,2300,2200,1900
Краснодар,3,800,10,9.2,9,8.6,8.4,7.8,2500,2300,2250,2150,2100,1950
Маджалис,3,1000,10.8,10.4,10,9.6,9.2,8.4,2700,2600,2500,2400,2300,2100
Махачкала,2,800,9.6,9.4,9.2,8.8,8.4,7.4,2400,2350,2300,2200,2100,1850
Москва,4,800,12.8,12.6,12.4,11.6,11.2,10.8,3200,3150,3100,2900,2800,2700
Набережные Челны,7,1000,12.8,12.6,12.4,12,11.8,11.6,3200,3150,3100,3000,2950,2900
Нефтеюганск,10,1400,21.6,21.4,21.2,21,20.8,20.4,5400,5350,5300,5250,5200,5100
Нижневартовск,9,1500,21.6,21.4,21.2,21,20.6,20,5400,5350,5300,5250,5150,5000
Новосибирск,10,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Новый Уренгой,11,1400,25.2,24.4,23.8,22.8,22.4,22,6300,6100,5950,5700,5600,5500
Ноябрьск,11,1500,23.6,23.4,23.2,23,22.6,22.2,5900,5850,5800,5750,5650,5550
Нягань,11,1500,23.2,23,22.8,22.6,22.4,22.2,5800,5750,5700,5650,5600,5550
Омск,11,1400,21.6,21.2,20.4,19.6,19.2,18.4,5400,5300,5100,4900,4800,4600
Пермь,7,1400,17.2,16.6,16.4,16.2,16,15.6,4300,4150,4100,4050,4000,3900
Пятигорск,1,1000,4.8,4.4,4,3.8,3.6,3.4,1200,1100,1000,950,900,850
Ростов-на-Дону,2,800,8.8,8.6,8.4,8,7.8,7.6,2200,2150,2100,2000,1950,1900
Санкт-Петербург,5,1000,14.8,14.6,14.4,14,13.8,13.2,3700,3650,3600,3500,3450,3300
Симферополь,4,800,14.4,14.2,14,13.8,13.6,13.4,3600,3550,3500,3450,3400,3350
Стрежевой,11,1700,28,27.8,27.6,27.4,27.2,27,7000,6950,6900,6850,6800,6750
Сургут,9,1500,20,19.8,19.6,19.4,19.2,19,5000,4950,4900,4850,4800,4750
Тобольск,9,1300,24,23.8,23.6,23.4,23.2,23,6000,5950,5900,5850,5800,5750
Томск,11,1500,24,23.8,23.6,23.4,23.2,23,6000,5950,5900,5850,5800,5750
Тюмень,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
Хасавюрт,2,800,9.6,9.4,9.2,8.8,8.4,7.4,2400,2350,2300,2200,2100,1850
Челябинск,8,1200,18,17.2,17,16.6,16.4,16,4500,4300,4250,4150,4100,4000
