Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,11,1000,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Владикавказ,9,1300,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Грозный,10,900,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Дербент,10,1000,20,19.8,19.6,19.4,19.2,19,5000,4950,4900,4850,4800,4750
Екатеринбург,3,400,6.4,6.2,6,5.8,5.6,5.2,1600,1550,1500,1450,1400,1300
Избербаш,10,1000,20,19.8,19.6,19.4,19.2,19,5000,4950,4900,4850,4800,4750
Каспийск,11,1000,18.8,18.4,18.2,17.8,17.2,16.8,4700,4600,4550,4450,4300,4200
Краснодар,7,700,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Москва,5,700,14,13.6,13.2,12.8,12.4,12,3500,3400,3300,3200,3100,3000
Маджалис,10,1000,20,19.8,19.6,19.4,19.2,19,5000,4950,4900,4850,4800,4750
Махачкала,10,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Нальчик,9,1300,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
Пятигорск,8,900,18.4,18,17.8,17.4,16.8,16.4,4600,4500,4450,4350,4200,4100
Ростов-на-Дону,7,700,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Санкт-Петербург,10,800,18.4,18.2,18,17.6,17.2,16.8,4600,4550,4500,4400,4300,4200
Симферополь,10,1000,25.8,25.6,25.4,25.2,25,24.8,6450,6400,6350,6300,6250,6200
Ставрополь,9,1300,24,23.8,23.6,23.4,23.2,23,6000,5950,5900,5850,5800,5750
Хасавюрт,10,900,18,17.6,17.4,17,16.4,16,4500,4400,4350,4250,4100,4000
Черкесск,9,1300,19.2,18.8,18.6,18.2,17.6,17.2,4800,4700,4650,4550,4400,4300
