Город,Время в пути (суток),Минимальная стоимость,по 250 кг,по 750 кг,по 1 250 кг,по 2 500 кг,по 5 000 кг,по 10 000 кг,по 1 м3,по 3 м3,по 5 м3,по 10 м3,по 20 м3,по 40 м3
Буйнакск,11,1200,26.2,25.8,25.4,25,24.6,20.2,6550,6450,6350,6250,6150,5050
Владикавказ,11,1500,22.8,22.6,22.4,22.2,22,21.8,5700,5650,5600,5550,5500,5450
Грозный,10,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Дербент,12,1200,22.4,22.2,22,21.8,21.6,21.4,5600,5550,5500,5450,5400,5350
Екатеринбург,6,500,12.2,12,11.8,11.4,11,10.8,3050,3000,2950,2850,2750,2700
Избербаш,12,1200,22.6,22.4,22.2,21.8,21.6,21.2,5650,5600,5550,5450,5400,5300
Каспийск,11,1200,22.6,22.4,22.2,21.8,21.6,21.2,5650,5600,5550,5450,5400,5300
Краснодар,9,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Москва,8,600,18.4,18,17.6,17.2,16.8,16.4,4600,4500,4400,4300,4200,4100
Маджалис,12,1200,22.4,22.2,22,21.8,21.6,21.4,5600,5550,5500,5450,5400,5350
Махачкала,10,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Нальчик,11,1500,22.8,22.6,22.4,22.2,22,21.8,5700,5650,5600,5550,5500,5450
Пятигорск,10,900,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Ростов-на-Дону,9,1200,22,21.4,21.2,21,20.8,20.6,5500,5350,5300,5250,5200,5150
Санкт-Петербург,10,800,25,24.6,24.2,23.8,23.4,19,6250,6150,6050,5950,5850,4750
Симферополь,13,1100,28.8,28.6,28.4,28.2,28,27.8,7200,7150,7100,7050,7000,6950
Ставрополь,11,1500,20,23.8,23.6,23.4,23.2,23,5000,5950,5900,5850,5800,5750
Хасавюрт,10,1200,22,21.8,21.6,21.4,21.2,21,5500,5450,5400,5350,5300,5250
Черкесск,11,1500,22.8,22.6,22.4,22.2,22,21.8,5700,5650,5600,5550,5500,5450
